1235603336.014442, -0.000581, -0.035454, 0.001580
1235603337.375999, 0.020835, -0.033270, -0.002327
1235603337.615921, 0.129322, -0.034415, -0.041473
1235603337.855852, 0.287560, -0.040583, -0.080145
1235603338.095775, 0.399498, -0.051170, -0.066819
1235603338.349691, 0.512386, -0.054371, -0.052328
1235603338.589617, 0.633378, -0.056226, -0.059428
1235603338.816535, 0.758427, -0.065558, -0.080151
1235603339.043462, 0.882289, -0.077327, -0.087795
1235603339.230402, 1.017392, -0.073396, -0.102176
1235603339.443339, 1.152305, -0.071911, -0.115775
1235603339.657327, 1.284070, -0.088785, -0.118767
1235603339.857202, 1.417957, -0.104800, -0.121830
1235603340.057153, 1.528269, -0.117840, -0.128596
1235603340.270174, 1.651490, -0.132257, -0.126028
1235603340.457014, 1.785382, -0.145146, -0.121524
1235603340.683942, 1.920297, -0.157908, -0.115699
1235603340.897866, 2.052174, -0.181239, -0.122583
1235603341.097802, 2.184940, -0.205550, -0.120639
1235603341.297744, 2.317417, -0.222047, -0.126117
1235603341.524664, 2.449771, -0.239531, -0.120499
1235603341.711604, 2.584362, -0.253318, -0.130019
1235603341.924542, 2.718687, -0.269629, -0.125103
1235603342.151469, 2.897049, -0.288497, -0.126155
1235603342.351404, 3.020512, -0.307992, -0.147920
1235603342.565330, 3.144386, -0.337631, -0.205767
1235603342.792257, 3.267555, -0.373702, -0.264647
1235603342.992192, 3.387640, -0.410276, -0.299548
1235603343.192134, 3.507348, -0.450940, -0.321343
1235603343.419055, 3.616687, -0.480673, -0.348566
1235603343.605995, 3.724970, -0.514527, -0.383263
1235603343.818932, 3.841782, -0.562094, -0.426085
1235603344.045857, 3.955970, -0.614295, -0.464574
1235603344.232794, 4.069175, -0.670623, -0.492726
1235603344.446725, 4.180518, -0.730044, -0.524280
1235603344.646661, 4.284346, -0.788288, -0.549429
1235603344.859599, 4.398530, -0.854485, -0.541522
1235603345.073528, 4.511018, -0.922589, -0.510548
1235603345.286461, 4.624441, -0.985641, -0.476236
1235603345.486396, 4.741454, -1.045788, -0.456702
1235603345.700321, 4.859682, -1.103827, -0.444876
